GEO_UNIT,WEEK,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_POINTS,984.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE,35.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_DISPLAY,19.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,18.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,59.4501533
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.42576326
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2465.0
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.245095722
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.830131914
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,1.072572484
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,0.999928514
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.446617767
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_POINTS,944.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE,11.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_DISPLAY,12.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,2.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,62.80509955
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.49508476
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2433.0
FR,5/9/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.892057762
